input_role,sha256,public_data_included,notes
current_primary_longitudinal,61DF739E443BB4EAD5FCC8248A67AAA3116631840B0561EABE40C7C11D58DCF9,no,primary current-input mixed models and sensitivity analyses
external_longitudinal,D0E02CDAE15FFC23410CD72888313D496D68B51863C0435EFC4CF32DA6A53030,no,limited external fluid-intake replication
mediation_patient,334ADDAD375E1625AD53F1385D2B22961ECC33B103AF1D700D065DAF7EA5B296,no,patient-level mediation freeze
equal_lag_longitudinal,775C02F3F5D063A223C5A0FBC724E3D2AD0A31250896EEA8C17F5E1D8308AFFF,no,equal two-day-lag sensitivity freeze
manuscript_aipw_weights,F8E886380930281621BF208414CC21C7110439A885597F754DE5655ADB856748,no,primary AIPW weight freeze
manuscript_aipw_and_rcs_longitudinal,0F12CAFB515ABE21E7DB1152AEC5574262347E71FECE936BEB8ED6645E013723,no,dedicated AIPW and RCS longitudinal freeze
