outcome,window,effect_measure,estimate,ci_lower,ci_upper,p_interaction_vs_day1,patients,windows
continuous_iap,D1_D2,beta mmHg per 1000 mL,0.0981354661641462,-0.0263265397349793,0.222597472063272,,771,2188
continuous_iap,D2_D3,beta mmHg per 1000 mL,0.262183375913864,0.0478676703033556,0.476499081524373,0.06547905119665,771,2188
continuous_iap,D3_D5,beta mmHg per 1000 mL,0.339280661850173,0.0940644754226631,0.584496848277683,0.0253847758430457,771,2188
continuous_iap,D5_D7,beta mmHg per 1000 mL,0.430770385988843,0.190691589133689,0.670849182843997,0.00151552565767467,771,2188
iap15,D1_D2,OR per 1000 mL,1.03128465361094,0.911186821911781,1.16721182879049,,771,2188
iap15,D2_D3,OR per 1000 mL,1.15272105517699,0.933888570875866,1.42283123756632,0.200036278279989,771,2188
iap15,D3_D5,OR per 1000 mL,1.34269098466446,1.05475303277644,1.7092333695914,0.0125552895803508,771,2188
iap15,D5_D7,OR per 1000 mL,1.32135010125469,1.04241357103605,1.67492647697448,0.0162959567339288,771,2188
