scenario,estimand,estimate,ci_lower,ci_upper,p_value,patients,windows,successful_replicates,bootstrap_unit
primary,risk_difference,0.0991155756478705,0.0644846936135658,0.129249975326023,0,773,2863,1000,patient
primary,odds_ratio,1.50229626924386,1.30352441030149,1.7072733096871,0,773,2863,1000,patient
primary,ate,0.941333244607767,0.715488850394062,1.16022866136196,0,773,2863,1000,patient
extended,risk_difference,0.0935159873302799,0.0549838922848505,0.135553702996718,0,771,2188,1000,patient
extended,odds_ratio,1.47092219980478,1.25515052946202,1.75417153504495,0,771,2188,1000,patient
extended,ate,0.816888284284495,0.397341895939321,1.14801538100193,0,771,2188,1000,patient
